query_id,measure,perfect,binarized,nearrandom
156493,AP,0.7970868511883268,0.7964096012903664,0.7965695388204903
156493,RR,1.0,1.0,1.0
156493,R@1000,0.9624060150375939,0.9624060150375939,0.9624060150375939
156493,nDCG@3,1.0,1.0,1.0
156493,nDCG@10,1.0,1.0,1.0
156493,nDCG@20,1.0,1.0,1.0
156493,nDCG@100,0.8764774102686962,0.869559784357293,0.8764594247937815
1110199,AP,0.488855243101126,0.36693119091938003,0.09132645502777742
1110199,RR,1.0,1.0,0.1111111111111111
1110199,R@1000,0.9428571428571428,0.9428571428571428,0.9428571428571428
1110199,nDCG@3,0.7243989383522971,0.7653606369886218,0.0
1110199,nDCG@10,0.8173044481546717,0.6045905850816906,0.024292706506549567
1110199,nDCG@20,0.6403597901612347,0.48961509050955637,0.017315299364337417
1110199,nDCG@100,0.6644165204088371,0.6007835368743143,0.1783135707426075
1063750,AP,0.6044949411462134,0.6121643663638754,0.5652600657991403
1063750,RR,1.0,1.0,1.0
1063750,R@1000,0.8405797101449275,0.8478260869565217,0.8260869565217391
1063750,nDCG@3,0.6666666666666667,0.6666666666666667,0.6666666666666667
1063750,nDCG@10,0.810044521833171,0.810044521833171,0.810044521833171
1063750,nDCG@20,0.8531329814601748,0.8531329814601748,0.8513476435562886
1063750,nDCG@100,0.8387692298656748,0.8496306034377697,0.7934493152885114
130510,AP,0.9045131902526269,0.9000909776762926,0.8769826378521515
130510,RR,1.0,1.0,1.0
130510,R@1000,1.0,1.0,1.0
130510,nDCG@3,0.7448797876704595,0.7448797876704595,0.7653606369886218
130510,nDCG@10,0.8962513267666862,0.919578460568148,0.8493263178610655
130510,nDCG@20,0.8859049907057055,0.903135354098249,0.8838804890594271
130510,nDCG@100,0.8852615853422159,0.8891999529336798,0.8793458586386055
489204,AP,0.06610567469619089,0.03917230392950089,0.033963367151241715
489204,RR,1.0,0.5,0.3333333333333333
489204,R@1000,0.17708333333333334,0.17708333333333334,0.15625
489204,nDCG@3,0.30995311664203284,0.11990623328406573,0.09502344167898356
489204,nDCG@10,0.26400547666018775,0.1695632396794805,0.14658351846809808
489204,nDCG@20,0.23042185193818757,0.14412508771160285,0.1440971734634894
489204,nDCG@100,0.13265209426810348,0.10177839032158707,0.09374843046475971
573724,AP,0.7548883496839373,0.7528532154429604,0.7518600425064217
573724,RR,1.0,1.0,1.0
573724,R@1000,0.9710144927536232,0.9710144927536232,0.9710144927536232
573724,nDCG@3,0.5,0.5248827916050821,0.5
573724,nDCG@10,0.6007746456673866,0.6169569764677891,0.5717020989147886
573724,nDCG@20,0.6965232639363356,0.7262156211408984,0.6761428415032961
573724,nDCG@100,0.7763943620234245,0.7778073905946783,0.7723887162047907
168216,AP,0.7247852143774103,0.7296907898143341,0.7265882033009886
168216,RR,1.0,1.0,1.0
168216,R@1000,0.8442906574394463,0.8477508650519031,0.8442906574394463
168216,nDCG@3,0.8435737579924145,0.8435737579924145,0.8435737579924145
168216,nDCG@10,0.9266360779006398,0.9266360779006398,0.9266360779006398
168216,nDCG@20,0.9288634125813051,0.9297551270764944,0.9292627464774402
168216,nDCG@100,0.8856010856738696,0.885430368300378,0.8852060821484984
1133167,AP,0.5758791633310606,0.5805213019801748,0.5807013538356233
1133167,RR,1.0,1.0,1.0
1133167,R@1000,0.7157894736842105,0.7157894736842105,0.7157894736842105
1133167,nDCG@3,0.6666666666666667,0.6666666666666667,0.6666666666666667
1133167,nDCG@10,0.7963269498338994,0.7742422086824364,0.7742422086824364
1133167,nDCG@20,0.8637740074132463,0.8621961809797583,0.862392338034371
1133167,nDCG@100,0.9206253980589582,0.9201372262653965,0.9196798046826216
527433,AP,0.5881927188801734,0.5673788329757827,0.39197274659949816
527433,RR,1.0,1.0,1.0
527433,R@1000,0.9066666666666666,0.9066666666666666,0.8666666666666667
527433,nDCG@3,0.7448797876704595,0.7448797876704595,0.7653606369886218
527433,nDCG@10,0.782964711817485,0.782964711817485,0.7211076720763335
527433,nDCG@20,0.6902315510336237,0.6878269091365609,0.6615364959989748
527433,nDCG@100,0.7132957646977792,0.7089279266011168,0.5745403254102507
1037798,AP,0.7085742791509351,0.16961916420458717,0.0018690789332991167
1037798,RR,1.0,1.0,0.01818181818181818
1037798,R@1000,0.9230769230769231,0.46153846153846156,0.15384615384615385
1037798,nDCG@3,0.9777813616305049,0.7232329748419101,0.0
1037798,nDCG@10,0.8059421351637402,0.43433013010115656,0.0
1037798,nDCG@20,0.7968683657454552,0.4664763902370554,0.0
1037798,nDCG@100,0.8176757908463003,0.4664763902370554,0.04862300196197031
915593,AP,0.36308635311478155,0.3187104074358599,0.26095789527887664
915593,RR,1.0,1.0,0.08333333333333333
915593,R@1000,0.9347826086956522,0.9565217391304348,0.9565217391304348
915593,nDCG@3,0.9217868789962073,0.7653606369886218,0.0
915593,nDCG@10,0.6619073352204607,0.42214645308466847,0.0
915593,nDCG@20,0.5347792785789137,0.31809938704505997,0.07244761042136541
